id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,gender,color,size,pattern,google_product_category,default_product,variant
wc_post_id_14171,"Loose Highlighter (Vegas)","This Loose Highlighter is a shimmering loose highlighter powder with highly reflective, iridescent pearls that deliver an intense sparkly payoff—available in 2 new shades! The easy-to-blend formula has a soft, velvety texture that leaves you with a silky finish.",https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2022/07/IMG_6807.jpg,https://wordpress-637743-3104200.cloudwaysapps.com/product/loose-highlighter-vegas/,"Face, Highlighter, Makeup, Sale","wordpress-637743-3104200.cloudwaysapps.com",4900BDT,in stock,wc_post_id_14171,,"https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2022/07/IMG_6827.jpg,https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2022/07/FallHighlight_Fair_0809_FIN_optimized.jpeg",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,3000BDT,new,published,,,,,,,
wc_post_id_14165,"Matte Lipstick (Dusty Mauve)","Matte Lipstick by Anastasia Beverly Hills is a full-pigment lip colour with a velvety-smooth ultra-matte finish and comfortable wearability. Available in a wide range of neutrals, bolds and bright accent shades, its heart-shaped bullet delivers ultimate control for a precise colour application. 
 
Benefits: 
 
  The easy-to-apply, full-pigment formula delivers an ultra-matte finish that seamlessly glides on the lips 
  The collection includes a wide range of neutral tones, bright accent shades and bold colours 
  The shade range includes a selection of nude shades that complement every skin tone and undertone 
  The precise heart-shaped bullet provides excellent control for defining the lip line and effortlessly creating a long-lasting application 
 
Features: 
 
  Cruelty-free 
  Vegan",https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2021/11/23.-Matte-Lipstick-Dusty-Mauve.jpg,https://wordpress-637743-3104200.cloudwaysapps.com/product/matte-lipstick-dusty-mauve/,"Lips, Lipstick, Makeup","wordpress-637743-3104200.cloudwaysapps.com",2400BDT,out of stock,wc_post_id_14165,,"https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2021/11/24.-Matte-Lipstick-Dusty-Mauve.jpg,https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2021/11/25.-Matte-Lipstick-Dusty-Mauve.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,2400BDT,new,published,,,,,,,
wc_post_id_14152,"Easy Bake Loose Baking & Setting Powder (Kunafa)","The Huda Beauty Easy Bake Loose Powders are inspired by Huda’s strong belief that the technique of baking is a key step to a flawless finish while ensuring long-lasting, melt-proof makeup. This extremely light and silky texture blends seamlessly into the skin leaving it matte with a hint of sheen, for a luminous finish that controls shine throughout the day. The powders work to subtly colour correct and highlight different contours of the face, leaving a translucent veil of colour on your skin. Huda Beauty's Easy Bake Loose Baking & Setting Powder are easy to use loose powder with a long-lasting complexion while blurring the appearance of pores and fine lines and holding makeup in place all day long. 
 
• Matte, luminous finish 
• Unique powder net to control product waste 
• Ultra-refined lightweight pigments",https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2022/07/IMG_6861-scaled.jpg,https://wordpress-637743-3104200.cloudwaysapps.com/product/easy-bake-loose-baking-setting-powder-kunafa/,"Face, Makeup, Powder &amp; Compact","wordpress-637743-3104200.cloudwaysapps.com",6400BDT,out of stock,wc_post_id_14152,,"https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2022/07/IMG_6858.jpg,https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2022/07/IMG_6859.jpg,https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2022/07/IMG_6860.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,6400BDT,new,published,,,,,,,
wc_post_id_14151,"Easy Bake Loose Baking & Setting Powder (Blondie)","The Huda Beauty Easy Bake Loose Powders are inspired by Huda’s strong belief that the technique of baking is a key step to a flawless finish while ensuring long-lasting, melt-proof makeup. This extremely light and silky texture blends seamlessly into the skin leaving it matte with a hint of sheen, for a luminous finish that controls shine throughout the day. The powders work to subtly colour correct and highlight different contours of the face, leaving a translucent veil of colour on your skin. Huda Beauty's Easy Bake Loose Baking & Setting Powder are easy to use loose powder with a long-lasting complexion while blurring the appearance of pores and fine lines and holding makeup in place all day long. 
 
• Matte, luminous finish 
• Unique powder net to control product waste 
• Ultra-refined lightweight pigments",https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2022/07/41Aj4joF1eL.jpeg,https://wordpress-637743-3104200.cloudwaysapps.com/product/easy-bake-loose-baking-setting-powder-blondie/,"Face, Makeup, Powder &amp; Compact","wordpress-637743-3104200.cloudwaysapps.com",6400BDT,out of stock,wc_post_id_14151,,"https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2022/07/IMG_6853.jpg,https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2022/07/IMG_6854.jpg,https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2022/07/IMG_6855.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,6400BDT,new,published,,,,,,,
wc_post_id_14131,"Easy Bake Loose Baking & Setting Powder (Banana Bread)","The Huda Beauty Easy Bake Loose Powders are inspired by Huda’s strong belief that the technique of baking is a key step to a flawless finish while ensuring long-lasting, melt-proof makeup. This extremely light and silky texture blends seamlessly into the skin leaving it matte with a hint of sheen, for a luminous finish that controls shine throughout the day. The powders work to subtly colour correct and highlight different contours of the face, leaving a translucent veil of colour on your skin. Huda Beauty’s Easy Bake Loose Baking & Setting Powder are easy to use loose powder with a long-lasting complexion while blurring the appearance of pores and fine lines and holding makeup in place all day long. 
 
• Matte, luminous finish 
• Unique powder net to control product waste 
• Ultra-refined lightweight pigments",https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2022/07/B.webp,https://wordpress-637743-3104200.cloudwaysapps.com/product/easy-bake-loose-baking-setting-powder-banana-bread/,"Body Oil","wordpress-637743-3104200.cloudwaysapps.com",6400BDT,in stock,wc_post_id_14131,,"https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2022/07/easy_bake_powder_1_1.jpeg,https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2022/07/IMG_6787.jpg,https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2022/07/IMG_6786.jpg",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,3900BDT,new,published,,,,,,,
wc_post_id_14132,"Easy Bake Loose Baking & Setting Powder (CupCake)","The Huda Beauty Easy Bake Loose Powders are inspired by Huda’s strong belief that the technique of baking is a key step to a flawless finish while ensuring long-lasting, melt-proof makeup. This extremely light and silky texture blends seamlessly into the skin leaving it matte with a hint of sheen, for a luminous finish that controls shine throughout the day. The powders work to subtly colour correct and highlight different contours of the face, leaving a translucent veil of colour on your skin. Huda Beauty’s Easy Bake Loose Baking & Setting Powder are easy to use loose powder with a long-lasting complexion while blurring the appearance of pores and fine lines and holding makeup in place all day long. 
 
• Matte, luminous finish 
• Unique powder net to control product waste 
• Ultra-refined lightweight pigments",https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2022/07/711QLwoYijL.jpeg,https://wordpress-637743-3104200.cloudwaysapps.com/product/easy-bake-loose-baking-setting-powder-cupcake/,"Body Oil","wordpress-637743-3104200.cloudwaysapps.com",6400BDT,in stock,wc_post_id_14132,,"https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2022/07/IMG_6785.jpg,https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2022/07/IMG_6783.jpg,https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2022/07/IMG_6784.jpg",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,3900BDT,new,published,,,,,,,
wc_post_id_14130,"Easy Bake Loose Baking & Setting Powder (Sugar Cookie)","The Huda Beauty Easy Bake Loose Powders are inspired by Huda’s strong belief that the technique of baking is a key step to a flawless finish while ensuring long-lasting, melt-proof makeup. This extremely light and silky texture blends seamlessly into the skin leaving it matte with a hint of sheen, for a luminous finish that controls shine throughout the day. The powders work to subtly colour correct and highlight different contours of the face, leaving a translucent veil of colour on your skin. Huda Beauty’s Easy Bake Loose Baking & Setting Powder are easy to use loose powder with a long-lasting complexion while blurring the appearance of pores and fine lines and holding makeup in place all day long. 
 
• Matte, luminous finish 
• Unique powder net to control product waste 
• Ultra-refined lightweight pigments",https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2022/07/613JbEblsIL.jpeg,https://wordpress-637743-3104200.cloudwaysapps.com/product/easy-bake-loose-baking-setting-powder-sugar-cookie/,"Face, Makeup, Powder &amp; Compact, Sale","wordpress-637743-3104200.cloudwaysapps.com",6400BDT,in stock,wc_post_id_14130,,"https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2022/07/hb_easy_bake_loose_powder_sugar_cookie_1.png,https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2022/07/PB111229.jpeg,https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2022/07/s2114056-av-05-zoom.webp,https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2022/07/IMG_6782.jpg",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,3900BDT,new,published,,,,,,,
wc_post_id_14110,"Studio Fix Powder Plus Foundation (NC35)","A one-step pressed powder and foundation that gives skin a 12-hour ultra-matte finish while controlling shine and without causing acne.",https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2022/07/IMG_6775.jpg,https://wordpress-637743-3104200.cloudwaysapps.com/product/studio-fix-powder-plus-foundation-nc-35/,"Face, Makeup, Powder &amp; Compact, Sale","wordpress-637743-3104200.cloudwaysapps.com",4800BDT,in stock,wc_post_id_14110,,"https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2022/07/IMG_6777.jpg,https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2022/07/IMG_6778.jpg,https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2022/07/IMG_6776.jpg,https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2022/07/IMG_6747.jpg",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,3800BDT,new,published,,,,,,,
wc_post_id_14108,"Studio Fix Powder Plus Foundation (NC30)","A one-step pressed powder and foundation that gives skin a 12-hour ultra-matte finish while controlling shine and without causing acne.",https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2022/07/IMG_6770.jpg,https://wordpress-637743-3104200.cloudwaysapps.com/product/studio-fix-powder-plus-foundation-nc-30/,"Face, Makeup, Powder &amp; Compact, Sale","wordpress-637743-3104200.cloudwaysapps.com",4800BDT,in stock,wc_post_id_14108,,"https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2022/07/IMG_6772.jpg,https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2022/07/IMG_6773.jpg,https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2022/07/IMG_6771.jpg,https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2022/07/IMG_6747.jpg",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,3800BDT,new,published,,,,,,,
wc_post_id_14109,"Studio Fix Powder Plus Foundation (NC25)","A one-step pressed powder and foundation that gives skin a 12-hour ultra-matte finish while controlling shine and without causing acne.",https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2022/07/IMG_6744.jpg,https://wordpress-637743-3104200.cloudwaysapps.com/product/studio-fix-powder-plus-foundation-nc-25/,"Face, Makeup, Powder &amp; Compact, Sale","wordpress-637743-3104200.cloudwaysapps.com",4800BDT,in stock,wc_post_id_14109,,"https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2022/07/IMG_6746.jpg,https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2022/07/IMG_6745.jpg,https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2022/07/IMG_6747.jpg",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,3800BDT,new,published,,,,,,,
